date,ping,down,up

2020-07-25 15:37:15,20.08,46.52,20.20
2020-07-25 16:12:21,23.989,28.42,20.45
2020-07-25 16:21:14,22.626,31.82,20.09
2020-07-25 16:51:15,21.069,44.18,20.43
2020-07-25 17:21:18,42.139,23.97,19.78
2020-07-25 17:51:20,22.151,51.79,20.44
2020-07-25 18:21:11,22.043,61.96,17.01
2020-07-25 18:51:18,22.222,39.25,20.25
2020-07-25 19:21:17,21.871,46.70,20.45
2020-07-25 20:01:16,20.659,42.68,20.44
2020-07-25 20:31:07,21.734,51.88,17.28
2020-07-25 21:01:03,23.024,71.11,19.95
2020-07-25 21:31:11,22.272,68.98,17.26
2020-07-25 22:01:11,22.739,70.45,17.85
2020-07-25 22:31:13,21.509,71.46,11.10
2020-07-25 23:01:05,21.597,67.19,19.09
2020-07-25 23:31:07,21.149,71.31,17.65
2020-07-26 00:01:02,22.061,67.75,20.24
2020-07-26 00:31:09,21.962,69.15,18.72
2020-07-26 01:01:03,21.993,69.84,20.72
2020-07-26 01:31:13,21.536,70.73,11.53
2020-07-26 02:01:07,22.043,67.74,18.50
2020-07-26 02:31:10,21.473,67.54,19.04
2020-07-26 03:01:11,21.656,72.17,18.03
2020-07-26 03:31:09,20.887,69.65,17.80
2020-07-26 04:01:08,22.72,70.29,16.92
2020-07-26 04:31:11,20.822,72.74,17.80
2020-07-26 05:01:12,20.651,68.61,17.16
2020-07-26 05:31:09,19.944,70.98,17.81
2020-07-26 06:01:11,20.639,71.23,18.30
2020-07-26 06:31:02,22.567,69.30,20.89
2020-07-26 07:01:10,21.613,70.12,18.22
2020-07-26 07:31:05,22.365,70.65,19.58
2020-07-26 08:01:10,21.225,74.51,17.68
2020-07-26 08:31:02,21.911,70.90,20.61
2020-07-26 09:01:15,22.511,65.62,20.65
2020-07-26 09:31:09,22.316,71.48,18.19
2020-07-26 10:01:08,21.495,62.91,16.91
2020-07-26 10:31:15,23.519,65.71,11.38
2020-07-26 11:01:12,20.825,72.51,16.55
2020-07-26 11:31:09,22.38,71.88,18.88
2020-07-26 12:01:03,23.902,68.77,20.53
2020-07-26 12:31:05,22.018,37.12,19.40
2020-07-26 16:47:13,22.83,9.66,19.76
2020-07-26 17:40:18,20.602,4.62,12.27
2020-07-26 18:53:50,23.858,16.56,16.66
2020-07-26 19:24:06,23.031,17.50,16.09
2020-07-26 19:54:06,21.652,21.10,16.06
2020-07-26 20:24:10,22.048,8.38,12.90
2020-07-26 20:54:02,21.584,30.70,18.52
2020-07-26 21:23:52,23.186,36.74,19.52
2020-07-26 21:53:55,22.545,35.02,20.40
2020-07-26 22:23:55,21.558,45.14,20.69
2020-07-26 22:53:56,21.957,38.72,20.26
2020-07-26 23:23:53,20.409,32.07,17.80
2020-07-26 23:53:54,20.613,47.63,20.16
2020-07-27 00:23:54,22.698,47.40,20.66
2020-07-27 00:54:01,19.401,29.41,16.34
2020-07-27 01:23:59,23.152,38.23,20.64
2020-07-27 01:53:55,20.062,46.20,20.57
2020-07-27 02:23:54,21.79,37.39,20.83
2020-07-27 02:53:55,21.548,46.52,20.75
2020-07-27 03:23:49,20.591,43.80,20.77
2020-07-27 03:53:56,21.762,43.21,20.77
2020-07-27 04:23:58,20.758,45.31,20.58
2020-07-27 04:53:48,19.863,45.86,20.81
2020-07-27 05:23:54,20.887,47.00,20.73
2020-07-27 05:53:56,20.375,44.05,20.95
2020-07-27 06:23:56,23.063,42.88,20.96
2020-07-27 06:53:48,19.068,41.13,20.30
2020-07-27 07:23:52,23.999,36.74,20.06
2020-07-27 19:43:24,23.146,11.50,19.98
2020-07-27 20:13:11,22.317,12.78,19.88
2020-07-27 20:43:31,23.79,12.69,20.60
2020-07-27 21:13:17,20.856,20.94,15.40
2020-07-27 21:43:23,21.105,11.26,8.78
2020-07-27 22:13:14,22.613,26.58,20.12
2020-07-27 22:43:23,22.612,18.67,11.04
2020-07-27 23:13:38,31.167,10.03,6.81
2020-07-27 23:43:26,27.543,16.80,11.10
2020-07-28 00:13:25,29.1,10.14,9.21
2020-07-28 00:43:23,22.129,18.08,11.31
2020-07-28 01:13:18,20.792,9.09,6.81
2020-07-28 01:43:14,23.983,8.40,8.12
2020-07-28 02:13:21,25.814,5.89,4.09
2020-07-28 02:43:11,19.663,35.83,20.72
2020-07-28 03:13:17,23.049,39.55,14.10
2020-07-28 03:43:16,20.519,36.59,20.69
2020-07-28 04:13:18,19.731,38.63,20.63
2020-07-28 04:43:16,19.863,36.29,20.75
2020-07-28 05:13:06,19.928,33.43,20.77
2020-07-28 05:43:06,20.338,34.56,20.66
2020-07-28 06:13:13,20.888,36.73,20.91
2020-07-28 06:43:08,21.091,31.17,20.75
2020-07-28 07:13:22,21.366,33.58,9.57
2020-07-28 07:43:14,21.536,36.24,20.70
2020-07-28 19:37:40,23.245,11.03,7.82
2020-07-28 19:40:44,21.332,8.20,9.76
2020-07-28 19:43:47,20.443,10.44,7.78
2020-07-29 19:37:40,58.943,52.85,19.17
2020-07-30 11:42:32,31.356,0.02,3.57
